字段,缺失值数量,缺失比例,字段类型
Code,0,0.0,object
Date,0,0.0,datetime64[ns]
MV,0,0.0,float64
Y,0,0.0,bool
企业倍数(EV除EBITDA),0,0.0,float64
净利润同比增长率,0,0.0,float64
净资产同比增长率,0,0.0,float64
利润总额(同比增长率),0,0.0,float64
基本每股收益(同比增长率),0,0.0,float64
市净率PB(MRQ),0,0.0,float64
市现率PCF(现金净流量TTM),0,0.0,float64
市现率PCF(经营现金流TTM),0,0.0,float64
市盈率PE(TTM),0,0.0,float64
"市盈率PE(TTM,扣除非经常性损益)",0,0.0,float64
市销率PS(TTM),0,0.0,float64
总资产同比增长率,0,0.0,float64
现金净流量同比增长率,0,0.0,float64
股息率(近12个月),0,0.0,float64
营业利润(同比增长率),0,0.0,float64
营业总收入(同比增长率),0,0.0,float64
