入模特征,特征类型,缺失值数量,缺失比例,训练集中位数填充值
企业倍数(EV除EBITDA),原始季度指标,0,0.0,17.44482281280183
市净率PB(MRQ),原始季度指标,0,0.0,2.529876909345411
市现率PCF(现金净流量TTM),原始季度指标,0,0.0,11.67787837982178
市现率PCF(经营现金流TTM),原始季度指标,0,0.0,17.34713877305624
市盈率PE(TTM),原始季度指标,0,0.0,28.2250862121582
"市盈率PE(TTM,扣除非经常性损益)",原始季度指标,0,0.0,28.55773993273831
市销率PS(TTM),原始季度指标,0,0.0,2.900263862957695
股息率(近12个月),原始季度指标,0,0.0,0.8089415158926293
MV,原始季度指标,0,0.0,54.6
净利润同比增长率,原始季度指标,0,0.0,11.4974725928431
净资产同比增长率,原始季度指标,0,0.0,6.2919225983552
利润总额(同比增长率),原始季度指标,0,0.0,10.6689
基本每股收益(同比增长率),原始季度指标,0,0.0,7.692307692307699
总资产同比增长率,原始季度指标,0,0.0,8.77374309404784
现金净流量同比增长率,原始季度指标,0,0.0,10.3651462028342
经营活动产生的现金流量净额(同比增长率),原始季度指标,0,0.0,-3.6271
营业利润(同比增长率),原始季度指标,0,0.0,10.9544
营业总收入(同比增长率),原始季度指标,0,0.0,9.6658
营业收入(同比增长率),原始季度指标,0,0.0,9.6171
log_mv,历史收益衍生,0,0.0,4.000033882750859
企业倍数(EV除EBITDA)_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
市净率PB(MRQ)_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
市现率PCF(现金净流量TTM)_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
市现率PCF(经营现金流TTM)_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
市盈率PE(TTM)_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
"市盈率PE(TTM,扣除非经常性损益)_截面分位",季度截面分位衍生,0,0.0,0.500132240148109
市销率PS(TTM)_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
股息率(近12个月)_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
MV_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
净利润同比增长率_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
净资产同比增长率_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
利润总额(同比增长率)_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
基本每股收益(同比增长率)_截面分位,季度截面分位衍生,0,0.0,0.5
总资产同比增长率_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
现金净流量同比增长率_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
经营活动产生的现金流量净额(同比增长率)_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
营业利润(同比增长率)_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
营业总收入(同比增长率)_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
营业收入(同比增长率)_截面分位,季度截面分位衍生,0,0.0,0.500132240148109
ret_lag_1q,历史收益衍生,4281,0.10806239903069467,0.0068
ret_mean_4q,历史收益衍生,8515,0.21493840872374798,0.029337499999999996
ret_vol_4q,历史收益衍生,8515,0.21493840872374798,0.14476044567322122
ret_cum_4q,历史收益衍生,16805,0.42419729402261713,0.027026208211755387
RSI,交易过滤衍生,8515,0.21493840872374798,63.70135337107168
trend_return,交易过滤衍生,16805,0.42419729402261713,0.027026208211755387
